Адрес 	Код    	IP 	CR  	AR 	DR  	SP 	BR  	AC  	NZVC	Новый адрес	Новый Код
345   	0200   	346	0200	345	0200	000	0345	0000	0100	           	         
346   	EEFD   	347	EEFD	344	0000	000	FFFD	0000	0100	344        	0000     
347   	AF05   	348	AF05	347	0005	000	0005	0005	0000	           	         
348   	EEFA   	349	EEFA	343	0005	000	FFFA	0005	0000	343        	0005     
349   	AEF7   	34A	AEF7	341	0354	000	FFF7	0354	0000	           	         
34A   	EEF7   	34B	EEF7	342	0354	000	FFF7	0354	0000	342        	0354     
34B   	AAF6   	34C	AAF6	354	0001	000	FFF6	0001	0000	           	         
34C   	0480   	34D	0480	34C	0480	000	034C	0000	0111	342        	0355     
34D   	0380   	34E	0380	34D	0380	000	034D	0000	0110	           	         
34E   	F402   	34F	F402	34E	F402	000	034E	0000	0110	           	         
34F   	0380   	350	0380	34F	0380	000	034F	0000	0111	           	         
350   	0400   	351	0400	350	0400	000	0350	0001	0000	           	         
351   	8343   	352	8343	343	0003	000	0351	0001	0000	343        	0004     
352   	CEF8   	34B	CEF8	352	034B	000	FFF8	0001	0000	           	         
353   	0100   	34C	AAF6	355	0680	000	FFF6	0680	0000	           	         
354   	0001   	34D	0480	34C	0480	000	034C	0340	0000	342        	0356     
355   	0680   	34E	0380	34D	0380	000	034D	0340	0001	           	         
356   	8344   	351	F402	34E	F402	000	0002	0340	0001	           	         
357   	6354   	352	8343	343	0002	000	0351	0340	0001	343        	0003     
358   	334B   	34B	CEF8	352	034B	000	FFF8	0340	0001	           	         
